date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,all_genre,main_genre,broad_genre,album,album_uri,num_songs_on_album,album_type,release_date
1/29/11,2011,The Breath You Take,the breath you take,george strait,george strait,63,74,20,93,-19,https://embed.spotify.com/?uri=spotify:track:0zKsfGlBHj6mzZRhmACl8M,0zKsfGlBHj6mzZRhmACl8M,,"[u'contemporary country', u'country', u'country road', u'country rock']",[u'country rock'],country,Twang,spotify:album:3UNd8ZTO7kLv038HdpfXSI,13,album,1/1/09
1/29/11,2011,Turn On The Radio,turn on the radio,reba,reba,53,78,18,99,-21,https://embed.spotify.com/?uri=spotify:track:6A2hvKTF2FShj0Yma7CP8N,6A2hvKTF2FShj0Yma7CP8N,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USLXJ1005164,"[u'contemporary country', u'country', u'country dawn']",[u'country dawn'],country,All The Women I Am,spotify:album:4A7RR4TaDogvcAi4Owbi1D,10,album,1/1/10
1/29/11,2011,Hold My Hand,hold my hand,michael jackson,michael jackson,39,70,9,91,-21,https://embed.spotify.com/?uri=spotify:track:0pCyoA5o2uxUwIovECCziF,0pCyoA5o2uxUwIovECCziF,,"[u'dance pop', u'pop']",[u'pop'],pop,Michael,spotify:album:0yYWeLqonFk11pmb0RiMbP,10,album,12/14/10
1/29/11,2011,Country Strong,country strong,gwyneth paltrow,gwyneth paltrow,81,81,2,87,-6,https://embed.spotify.com/?uri=spotify:track:5TNdPSPGGanyHK2MBQpU1G,5TNdPSPGGanyHK2MBQpU1G,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USKVH1000027,[],[],unknown,Country Strong (Original Motion Picture Soundtrack),spotify:album:0GqBF7BpSBxXSyRd5ouCrj,13,compilation,10/26/10
1/22/11,2011,Love The Way You Lie,love the way you lie,eminem,eminem,1,35,29,46,-11,https://embed.spotify.com/?uri=spotify:track:15JINEqzVMv3SvJTAXAKED,15JINEqzVMv3SvJTAXAKED,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71001543,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",[u'rap'],rap,Recovery,spotify:album:47BiFcV59TQi2s9SkBo2pb,17,album,6/18/10
1/22/11,2011,Stuck Like Glue,stuck like glue,sugarland,sugarland,17,36,24,44,-8,https://embed.spotify.com/?uri=spotify:track:0JcKdUGNR7zI4jJDLyYXbi,0JcKdUGNR7zI4jJDLyYXbi,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71001439,"[u'contemporary country', u'country', u'country dawn', u'country road']",[u'country road'],country,The Incredible Machine,spotify:album:6tRJWFLsUW4HuiXHlOSnwf,11,album,1/1/10
1/22/11,2011,Mine,mine,taylor swift,taylor swift,3,31,23,50,-19,https://embed.spotify.com/?uri=spotify:track:0dBW6ZsW8skfvoRfgeerBF,0dBW6ZsW8skfvoRfgeerBF,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USCJY1003646,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop'],pop,Speak Now,spotify:album:5MfAxS5zz8MlfROjGQVXhy,14,album,1/1/10
1/22/11,2011,My Kinda Party,my kinda party,jason aldean,jason aldean,39,43,20,48,-5,https://embed.spotify.com/?uri=spotify:track:4iKllrl3J1GMiFocU57cN4,4iKllrl3J1GMiFocU57cN4,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=US58E1000252,"[u'contemporary country', u'country', u'country road']",[u'country road'],country,My Kinda Party,spotify:album:6gYk1JlSSmlUZGs1Lef1BI,15,album,11/2/10
1/22/11,2011,Only Prettier,only prettier,miranda lambert,miranda lambert,61,74,19,93,-19,https://embed.spotify.com/?uri=spotify:track:05Rdg52eBYVUy5A55rnz39,05Rdg52eBYVUy5A55rnz39,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USGQ41000019,"[u'contemporary country', u'country', u'country dawn', u'country road', u'modern country rock']",[u'modern country rock'],country,Instrumental Covers of Miranda Lambert,spotify:album:1oIdwW1TOAPkZnJSPCqkuD,4,single,12/31/17
1/22/11,2011,Anything Like Me,anything like me,brad paisley,brad paisley,48,90,19,95,-5,https://embed.spotify.com/?uri=spotify:track:74mZKvZcZzzvbOnt8NfWda,74mZKvZcZzzvbOnt8NfWda,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=TIVEV1094159,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock'],country,Hits Alive,spotify:album:10XgYRGRtKApBh2P1K9yHS,25,compilation,11/2/10
